ID	EV1	EV2	EV3	EV4	EV5	EV6	EV7	EV8	EV9	EV10	EV11	EV12	EV13	EV14	EV15	EV16	EV17	EV18	EV19	EV20	EV21	EV22	EV23	EV24	EV25	EV26	EV27
77	0.050819	-0.002172	0.004168	0.1156	-0.039812	0.118124	0.02332	0.042647	-0.014783	-0.179451	0.011751	-0.157035	-0.05325	-0.010062	0.142863	0.09011	-0.072333	0.074424	-0.060481	0.132882	-0.198286	-0.086065	0.054024	-0.043225	0.115134	-0.101721	-0.041468
78	0.073389	0.019471	-0.022982	0.175101	-0.03834	0.156645	0.021963	0.081366	-0.056125	-0.184363	-0.025024	-0.189183	0.016918	0.008301	0.108891	0.081615	-0.123154	-0.001397	-0.027171	0.087558	-0.101323	-0.085937	0.064158	-0.059872	-0.088479	-0.167955	-0.061524
79	0.091328	-0.010938	0.018945	0.146328	-0.05646	0.18493	0.042857	0.006784	0.034396	-0.178953	0.063213	-0.148861	-0.058838	-0.069121	0.12368	0.105116	-0.010562	0.129249	-0.114642	0.065883	-0.086184	0.012599	0.11818	0.008801	0.117815	0.04574	0.017276
80	0.075949	-0.027978	0.050719	0.092287	-0.061802	0.126081	0.037148	-0.022856	0.06362	-0.130415	0.088591	-0.066508	-0.124933	-0.028452	0.103815	0.072043	0.063471	0.136058	-0.067617	0.108099	-0.076559	0.048741	0.025957	0.051635	0.251085	0.141377	0.045417
81	0.13428	0.023551	-0.030558	0.189608	-0.036344	0.217943	0.042047	0.032444	0.009966	-0.080308	0.024212	-0.115638	0.094278	-0.078245	0.009701	0.053886	-0.034993	0.011108	-0.06629	-0.033193	0.147476	0.098345	0.109412	0.038917	-0.14647	0.023995	0.026064
82	0.175866	-0.054347	0.091288	0.132942	-0.080466	0.236668	0.060676	-0.123061	0.13449	-0.066163	0.145148	0.023301	-0.112854	-0.076169	-0.031848	0.03594	0.130074	0.110282	-0.047911	-0.124795	0.050926	0.056697	-0.001617	0.031295	0.06497	0.186449	0.048622
83	0.178039	-0.008359	-0.019577	0.07227	0.023419	0.188607	0.031738	-0.082838	0.06079	0.085862	0.033716	0.024424	0.178488	-0.166922	-0.140725	0.000276	-0.010665	0.002013	-0.057747	-0.104592	0.115485	0.108571	0.05355	0.09886	-0.086752	-0.000425	0.049038
84	0.156055	-0.055931	0.063664	0.020665	0.000244	0.140782	0.018811	-0.169466	0.068973	0.071221	0.042569	0.094775	0.009346	-0.082988	-0.152897	-0.028575	0.041528	-0.002046	0.007392	-0.240897	-0.053661	-0.108371	-0.029349	-0.053734	-0.073855	-0.085072	-0.030241
85	0.148918	0.022092	-0.094208	-0.018782	0.085011	0.084204	0.017945	0.004104	0.061739	0.145257	0.018469	0.063581	0.243321	-0.108611	-0.094669	-0.013227	-0.106142	-0.023749	-0.033776	0.112517	0.006115	0.104521	-0.016981	0.114794	0.053075	0.003365	0.033325
86	0.149908	0.001619	-0.122554	-0.12862	0.172426	0.012082	-0.013097	0.045887	0.057751	0.049193	0.089465	0.070273	0.121018	-0.039061	-0.104782	-0.004737	-0.137373	-0.040109	0.002391	0.210727	-0.186902	-0.028941	0.01002	0.053766	0.195518	0.026582	0.019908
