Label,x,y,elevation
BY218,-67.15052054,18.1256435,31
BY219,-67.15048353,18.11660814,16
BY220,-67.15044653,18.10757277,13
BY221,-67.15040953,18.0985374,15
BY222,-67.15037254,18.08950203,21
BY223,-67.15033555,18.08046665,33
BY224,-67.15029856,18.07143126,43
BY225,-67.15026158,18.06239587,54
BY226,-67.1502246,18.05336048,63
BY227,-67.15018763,18.04432508,32
BY228,-67.15015065,18.03528968,16
BY229,-67.15011369,18.02625427,10
BY230,-67.15007672,18.01721886,6
BY231,-67.15003976,18.00818345,6
BY232,-67.15000281,17.99914803,21
BY233,-67.14996586,17.99011262,51
BY234,-67.14992891,17.9810772,56
BY235,-67.14989197,17.97204177,30
BY236,-67.14985502,17.96300635,30
BY237,-67.1493351,17.95738475,16
CA175,-67.13138507,18.51071706,41
CA176,-67.13313922,18.50519044,52
CA177,-67.13310303,18.49615552,62
CA178,-67.13306685,18.48712059,62
CA179,-67.13303067,18.47808564,71
CA180,-67.13299449,18.46905067,90
CA181,-67.13295832,18.46001569,119
CA182,-67.13292215,18.4509807,140
CA183,-67.13288599,18.44194569,167
CA184,-67.13284983,18.43291067,191
CA185,-67.13281367,18.42387564,198
CA186,-67.13277752,18.41484059,194
CA187,-67.13274137,18.40580553,150
CA188,-67.13270522,18.39677046,56
CA189,-67.13266908,18.38773537,17
CA190,-67.13263294,18.37870027,50
CA191,-67.13259681,18.36966516,81
CA192,-67.13256068,18.36063003,97
CA193,-67.13252455,18.3515949,100
CA194,-67.13248843,18.34255975,123
CA195,-67.13245231,18.33352459,146
CA196,-67.13241619,18.32448942,129
CA197,-67.13238008,18.31545424,129
CA198,-67.13234397,18.30641905,159
CA199,-67.13230786,18.29738385,147
CA200,-67.13227176,18.28834864,77
CA201,-67.13223567,18.27931342,54
CA202,-67.13219957,18.27027819,30
CA203,-67.13216348,18.26124294,11
CA204,-67.1321274,18.25220769,35
CA205,-67.13209131,18.24317243,28
CA206,-67.13205524,18.23413717,37
CA207,-67.13201916,18.22510189,46
CA208,-67.13198309,18.2160666,80
CA209,-67.13194702,18.20703131,73
CA210,-67.13191096,18.19799601,42
CA211,-67.1318749,18.1889607,123
CA212,-67.13183884,18.17992538,79
CA213,-67.13180279,18.17089006,71
CA214,-67.13176674,18.16185473,71
CA215,-67.1317307,18.15281939,45
CA216,-67.13169466,18.14378405,35
CA217,-67.13165862,18.1347487,14
CA218,-67.13162258,18.12571334,18
CA219,-67.13158655,18.11667798,13
CA220,-67.13155053,18.10764261,13
CA221,-67.1315145,18.09860723,13
CA222,-67.13147849,18.08957185,15
CA223,-67.13144247,18.08053647,30
CA224,-67.13140646,18.07150108,65
CA225,-67.13137045,18.06246569,100
CA226,-67.13133445,18.05343029,93
CA227,-67.13129845,18.04439489,66
CA228,-67.13126245,18.03535948,32
CA229,-67.13122646,18.02632407,19
CA230,-67.13119047,18.01728866,10
CA231,-67.13115448,18.00825324,19
CA232,-67.1311185,17.99921783,49
CA233,-67.13108252,17.9901824,99
